delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
323068,254134,105570,42190,53744,48252,32744,37948,2022-03-14 00:18:56.378325
144022,458060,138617,32535,86044,11390,12513,19703,2022-03-14 00:18:57.364849
2198183,1376966,429321,93568,53969,54600,41624,25315,2022-03-14 00:18:58.370798
66403,41856,7881,21186,12150,12222,19063,14761,2022-03-14 00:18:59.362943
76695,11448,25438,48226,6379,16666,12500,7167,2022-03-14 00:19:00.375245
174754,188430,22498,63358,46756,32802,19888,13547,2022-03-14 00:19:01.415650
269961,102199,7134,4063,10305,7434,5279,8097,2022-03-14 00:19:02.364955
361175,336694,19465,25505,35715,15342,28258,13255,2022-03-14 00:19:03.364898
600372,304905,38389,25014,59738,13230,13662,8090,2022-03-14 00:19:04.372176
1852579,253257,12730,64139,90365,16320,17844,23309,2022-03-14 00:19:05.399503
3056852,548380,210846,561792,427918,176282,60634,107000,2022-03-14 00:19:06.377106
357417,36609,66033,63316,43522,15208,20335,32547,2022-03-14 00:19:07.363140
1190789,189413,12579,6025,17318,17332,15523,19294,2022-03-14 00:19:08.403030
308690,21154,6278,9164,2652,3904,2605,2498,2022-03-14 00:19:09.363693
841161,28999,5016,17568,21112,13438,5782,1978,2022-03-14 00:19:10.363788
1130897,37309,13712,5608,7289,4057,1500,507,2022-03-14 00:19:11.368067
319434,125002,6885,11524,10366,4080,7176,6242,2022-03-14 00:19:12.404609
730065,92951,48790,27917,44005,23671,11122,24129,2022-03-14 00:19:13.364836
776338,63695,84660,28179,24706,25485,19170,7134,2022-03-14 00:19:14.375157
310266,72081,5319,13508,16740,7708,4452,3850,2022-03-14 00:19:15.368126
155660,24152,39953,33701,11539,13270,14670,17508,2022-03-14 00:19:16.373034
336349,2835,14506,7119,8814,10154,2066,1547,2022-03-14 00:19:17.364287
984759,32924,44663,71886,28146,19053,20239,37156,2022-03-14 00:19:18.372340
287398,51146,19834,953,13208,6893,9509,8089,2022-03-14 00:19:19.397297
1371176,323048,14332,171716,61733,16024,31361,36966,2022-03-14 00:19:20.369156
193957,29350,5246,7054,3609,2196,1589,1743,2022-03-14 00:19:21.375045
1868342,165695,27355,3201,67003,35755,12918,13705,2022-03-14 00:19:22.366312
319802,32247,24567,7136,2529,6008,2324,1368,2022-03-14 00:19:23.390343
82359,37453,6295,9871,3951,4807,4084,3799,2022-03-14 00:19:24.381377
596366,195088,24807,66777,38667,34882,39900,28050,2022-03-14 00:19:25.372455
2286685,37982,53750,8489,14175,10950,7850,8495,2022-03-14 00:19:26.372716
1617183,352663,196168,267337,60693,53337,74152,26589,2022-03-14 00:19:27.363373
